Name;email;department;position;project;task;date;logged hours
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-11-19;5
John Doby;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-12-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jack Sanchez;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-12-20;7
John Dode;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;3
July Foster;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;1
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doby;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jack Sanchez;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;7
John Dode;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;3
July Foster;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;1
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doby;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jack Sanchez;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;7
John Dode;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;3
July Foster;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;1
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doby;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Jack Sanchez;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;7
John Dode;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;3
July Foster;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;1
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
John Doby;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
